# 1.1																																																																	
type	in1	in2	in3	in4	in5	in6	in7	in8	maumut	mauree	in9	cuomcc	cuoamb	in10	in11	cheabi	aldgig	in12	gopfla	in13	gopevg	gopaga	in14	plameg	in15	in16	in17	actmar	emyorb	tercar	in18	in19	trascr	malter	chrpic	in20	in21	dercor	in22	in23	carcar	ereimb	chemyd	in24	cheser	dermaw	in25	carins	in26	in27	rafswi	apaspi	pelsin	in28	in29	pelcas	podexp	in30	in31	emysub	emymac	mestub	in32	allsin	galgal
copy	28	68	83	84	123	141	141	158	213	158	131	131	125	154	154	82	404	168	188	168	217	160	123	114	133	144	163	182	163	144	133	133	105	133	136	84	50	25	50	50	37	83	50	84	97	84	83	53	83	83	114	67	86	68	67	67	62	101	139	139	147	101	28	135	12
dups	27	40	15	1	39	18	0	17	55	0	0	0	0	13	0	0	250	14	20	0	49	0	0	0	10	11	19	19	0	0	0	0	0	0	3	0	0	0	0	0	0	33	0	0	13	0	0	0	0	0	31	0	3	0	0	0	0	33	38	0	8	0	0	107	0
loss	0	0	0	0	0	0	0	0	0	0	10	0	6	0	0	72	0	0	0	0	0	8	0	9	0	0	0	0	0	0	0	0	28	0	0	0	34	25	0	0	13	0	0	0	0	0	0	30	0	0	0	16	0	0	1	0	5	0	0	0	0	0	0	0	16
